symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
AT1G01010,-,Chr1:3631-5899,3631,5899,2269,1688,-0.809689162991473,0.31726398573423,0.999929364881249
AT1G01020,-,Chr1:5928-8737,5928,8737,2810,1774,0.0172326209411222,0.983393734188308,0.999929364881249
AT1G01030,-,Chr1:11649-13714,11649,13714,2066,1905,-1.02026786919004,0.151081812265583,0.999929364881249
AT1G01040,AT1G01046;AT1G01050,Chr1:23146-31227,23146,31227,8082,6254,-0.144281137547033,0.877669733790022,0.999929364881249
AT1G01046,AT1G01040,Chr1:28500-28706,28500,28706,207,207,0.741705675006901,0.353106961260224,0.999929364881249
AT1G01050,AT1G01040,Chr1:31170-33153,31170,33153,1984,976,1.30056884159902,0.173977123414816,0.999929364881249
AT1G01060,-,Chr1:33379-37871,33379,37871,4493,3234,0.149096623169517,0.88207072311098,0.999929364881249
AT1G01070,-,Chr1:38752-40944,38752,40944,2193,1450,0.770876635763175,0.360832107947467,0.999929364881249
AT1G01080,-,Chr1:45296-47019,45296,47019,1724,1322,-0.203138378659335,0.821749631373013,0.999929364881249
AT1G01090,-,Chr1:47485-49286,47485,49286,1802,1627,0.281599957900868,0.772710986660047,0.999929364881249
AT1G01100,-,Chr1:50075-51199,50075,51199,1125,679,0.224793907153408,0.819270604710334,0.999929364881249
AT1G01110,-,Chr1:52239-54692,52239,54692,2454,1851,0.322588417690151,0.689296538379651,0.999929364881249
AT1G01120,-,Chr1:57269-59167,57269,59167,1899,1899,-2.16046226105452,0.0320594601445676,0.999929364881249
AT1G01130,-,Chr1:61905-63811,61905,63811,1907,375,-1.19471596347356,0.107186458870634,0.999929364881249
AT1G01140,-,Chr1:64166-67625,64166,67625,3460,1707,0.154740353128687,0.868929225620012,0.999929364881249
AT1G01160,AT1G01170,Chr1:72339-74096,72339,74096,1758,1147,0.891117541230208,0.346753765100006,0.999929364881249
AT1G01170,AT1G01160,Chr1:73931-74737,73931,74737,807,515,1.04043587781868,0.276753094121894,0.999929364881249
AT1G01180,-,Chr1:75583-76758,75583,76758,1176,1176,1.5440553178572,0.0878671084673638,0.999929364881249
