symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
AT1G01010,-,Chr1:3631-5899,3631,5899,2269,1688,-0.19995335819987,0.51543577951897,0.595143020793385
AT1G01020,-,Chr1:5928-8737,5928,8737,2810,1774,0.190522106955681,0.277217394674971,0.354902529305422
AT1G01030,-,Chr1:11649-13714,11649,13714,2066,1905,-0.471762408574428,0.0629454731201702,0.0993806589469854
AT1G01040,AT1G01046;AT1G01050,Chr1:23146-31227,23146,31227,8082,6254,-0.0198088881300454,0.876045117620581,0.904519190230994
AT1G01046,AT1G01040,Chr1:28500-28706,28500,28706,207,207,0.940182057719058,0.0509358295846648,0.0824900864637119
AT1G01050,AT1G01040,Chr1:31170-33153,31170,33153,1984,976,1.11240458113512,1.72936086773279e-18,1.90313747011614e-17
AT1G01060,-,Chr1:33379-37871,33379,37871,4493,3234,1.23089577004085,2.36970728833921e-15,2.06767234205089e-14
AT1G01070,-,Chr1:38752-40944,38752,40944,2193,1450,0.615364236500012,0.0173352787809202,0.0316416001448599
AT1G01080,-,Chr1:45296-47019,45296,47019,1724,1322,-0.270572760353446,0.0349349299345461,0.0590073221553162
AT1G01090,-,Chr1:47485-49286,47485,49286,1802,1627,0.324929921796958,0.00528517574906419,0.0107895495907302
AT1G01100,-,Chr1:50075-51199,50075,51199,1125,679,-0.0601235715287674,0.601017962421694,0.67385735152925
AT1G01120,-,Chr1:57269-59167,57269,59167,1899,1899,-1.91851300970346,6.78759720748944e-48,4.08473540918484e-46
AT1G01130,-,Chr1:61905-63811,61905,63811,1907,375,-0.135078556054522,0.716405191410605,0.772829290374677
AT1G01140,-,Chr1:64166-67625,64166,67625,3460,1707,-0.20162543470062,0.214670803922235,0.286618039525861
AT1G01160,AT1G01170,Chr1:72339-74096,72339,74096,1758,1147,0.754254444090926,6.4053832508515e-10,3.50535082193124e-09
AT1G01170,AT1G01160,Chr1:73931-74737,73931,74737,807,515,0.730580975388142,1.47051770927285e-08,6.95118940129654e-08
AT1G01180,-,Chr1:75583-76758,75583,76758,1176,1176,1.53213444228581,1.88742304284763e-32,4.82211297576051e-31
AT1G01190,-,Chr1:83045-84864,83045,84864,1820,1608,-1.81834515319492,6.21827402619209e-06,2.10774355745591e-05
AT1G01210,-,Chr1:88898-89745,88898,89745,848,616,0.0664830173794932,0.708432569401088,0.765985051162855
AT1G01220,-,Chr1:91376-95651,91376,95651,4276,3532,-1.13461260372415,2.49841265593719e-13,1.8639310893594e-12
AT1G01230,-,Chr1:97456-99240,97456,99240,1785,832,0.0992480872335022,0.53841929507714,0.617195741743281
AT1G01240,-,Chr1:99894-101834,99894,101834,1941,1941,-0.573205802546495,9.56668328330987e-05,0.000270176022753157
AT1G01250,-,Chr1:104491-105330,104491,105330,840,840,-2.11667170750554,1.04190938269748e-14,8.65343721145446e-14
AT1G01260,-,Chr1:108946-111609,108946,111609,2664,2664,-0.0177646007662535,0.924239389589037,0.94244946538031
AT1G01290,-,Chr1:114286-116108,114286,116108,1823,1227,-0.420462087616656,0.0237458973145037,0.041882491134851
AT1G01300,-,Chr1:116943-118764,116943,118764,1822,1822,-0.764083296981294,8.84879740302979e-07,3.35679824415668e-06
AT1G01320,AT1G01310,Chr1:121067-130577,121067,130577,9511,6079,-0.421377010661816,0.000568498833756367,0.00140411615416728
AT1G01340,-,Chr1:132328-135831,132328,135831,3504,2535,1.76274573482772,1.82800628041865e-10,1.0538671471516e-09
AT1G01350,-,Chr1:136124-138162,136124,138162,2039,1400,0.475067103292648,0.00888750621377595,0.0173329336300966
AT1G01360,-,Chr1:141971-143183,141971,143183,1213,1000,0.662699443818108,0.000259379594085223,0.000683006536889044
AT1G01380,-,Chr1:147153-147942,147153,147942,790,568,-0.901671915929306,0.0552484870153003,0.0886187101563048
AT1G01420,-,Chr1:154492-156011,154492,156011,1520,1520,-0.0978062063465455,0.704475978327562,0.763210399008699
AT1G01430,-,Chr1:156801-158655,156801,158655,1855,1642,-0.260141422598573,0.0176930379288696,0.0322458687034454
AT1G01440,-,Chr1:159856-162572,159856,162572,2717,2221,0.334565094378048,0.0260304709788157,0.0454429405657545
AT1G01448,AT1G01450,Chr1:163419-166239,163419,166239,2821,2481,1.56449256828474,1.30344588578094e-20,1.65456333391983e-19
AT1G01450,AT1G01448,Chr1:164105-165517,164105,165517,1413,1413,1.48589333356767,3.044300490503e-15,2.63219375107261e-14
AT1G01470,-,Chr1:172146-172948,172146,172948,803,727,-2.4394485627496,2.01264821063631e-85,4.86094795832882e-83
AT1G01490,-,Chr1:180059-182358,180059,182358,2300,1168,0.897385959661778,5.82145037495268e-13,4.20957094179213e-12
AT1G01500,-,Chr1:185133-186923,185133,186923,1791,1461,-0.288719519935804,0.272011992734061,0.349498172534032
AT1G01510,-,Chr1:187211-190056,187211,190056,2846,2155,0.56990023009706,8.61931225150899e-06,2.86005169671797e-05
AT1G01520,-,Chr1:190596-192139,190596,192139,1544,864,-2.65426031312528,1.03315731094171e-41,4.39310129821554e-40
AT1G01540,-,Chr1:195780-198684,195780,198684,2905,1989,1.7053430013107,1.39044969235188e-40,5.4516462613121e-39
AT1G01550,-,Chr1:199639-201775,199639,201775,2137,1559,-0.30069951209886,0.0119988317413213,0.0226828259405441
AT1G01570,-,Chr1:205176-207435,205176,207435,2260,1437,-0.663335929342971,0.0209653986025555,0.0374191772870914
AT1G01580,-,Chr1:209395-213041,209395,213041,3647,2409,-0.601736709031556,0.167229022449289,0.231766374341731
AT1G01600,-,Chr1:218994-221286,218994,221286,2293,2163,-2.46362325634585,5.85006366266537e-10,3.21212649850017e-09
