symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
AT1G01010,-,Chr1:3631-5899,3631,5899,2269,1688,0.985318939602973,0.000230254807065152,0.00155413152418476
AT1G01020,-,Chr1:5928-8737,5928,8737,2810,1774,0.375337874281281,0.0330541428019217,0.0908743334720124
AT1G01030,-,Chr1:11649-13714,11649,13714,2066,1905,1.50768495047781,8.49372835721542e-07,1.11908373018305e-05
AT1G01040,AT1G01046;AT1G01050,Chr1:23146-31227,23146,31227,8082,6254,-0.22874554037154,0.0626630777987221,0.147953553921324
AT1G01046,AT1G01040,Chr1:28500-28706,28500,28706,207,207,-0.524044580601385,0.20966110405385,0.358533135323066
AT1G01050,AT1G01040,Chr1:31170-33153,31170,33153,1984,976,0.116409624147047,0.258473326321001,0.415904713303846
AT1G01060,-,Chr1:33379-37871,33379,37871,4493,3234,0.319054139312593,0.0229006886879204,0.0677841873322481
AT1G01070,-,Chr1:38752-40944,38752,40944,2193,1450,-1.14674688164776,4.0050983453868e-09,8.30113308001396e-08
AT1G01080,-,Chr1:45296-47019,45296,47019,1724,1322,0.215988348269217,0.0793009897291016,0.176318051293952
AT1G01090,-,Chr1:47485-49286,47485,49286,1802,1627,0.148327224896999,0.16573241145738,0.303112680933913
AT1G01100,-,Chr1:50075-51199,50075,51199,1125,679,0.121999896134929,0.272069198799918,0.43106097504172
AT1G01110,-,Chr1:52239-54692,52239,54692,2454,1851,-2.28454820868853,6.02096601568858e-13,2.31057857405551e-11
AT1G01120,-,Chr1:57269-59167,57269,59167,1899,1899,0.208664231874893,0.139643977479412,0.268267848746107
AT1G01130,-,Chr1:61905-63811,61905,63811,1907,375,0.396252297331991,0.301842628043794,0.463780577891226
AT1G01140,-,Chr1:64166-67625,64166,67625,3460,1707,-0.250361262294529,0.0569728599812133,0.138100027045423
AT1G01160,AT1G01170,Chr1:72339-74096,72339,74096,1758,1147,0.0291587822489482,0.801854999957669,0.881829775951445
AT1G01170,AT1G01160,Chr1:73931-74737,73931,74737,807,515,0.278291571093791,0.020790537621253,0.0628075780734176
AT1G01180,-,Chr1:75583-76758,75583,76758,1176,1176,0.711821022394933,1.11848181196797e-07,1.74276917793875e-06
AT1G01210,-,Chr1:88898-89745,88898,89745,848,616,0.210961752904572,0.238363686104807,0.392837746577464
AT1G01220,-,Chr1:91376-95651,91376,95651,4276,3532,-0.550686872086551,0.00233560233624343,0.0109206029959603
AT1G01230,-,Chr1:97456-99240,97456,99240,1785,832,0.257393771379802,0.11823857907135,0.237054265390765
AT1G01240,-,Chr1:99894-101834,99894,101834,1941,1941,-0.384495648085145,0.00575413446439211,0.0225849310007852
AT1G01250,-,Chr1:104491-105330,104491,105330,840,840,0.631970052103006,0.0860284240607623,0.187665410325832
AT1G01260,-,Chr1:108946-111609,108946,111609,2664,2664,-0.782733681967898,1.41700135200591e-06,1.79821052439393e-05
AT1G01290,-,Chr1:114286-116108,114286,116108,1823,1227,-0.201874147052706,0.291057448579573,0.451511537178692
AT1G01300,-,Chr1:116943-118764,116943,118764,1822,1822,-0.325819176705159,0.0140235544121943,0.0462522034807145
AT1G01320,AT1G01310,Chr1:121067-130577,121067,130577,9511,6079,0.0936720658194638,0.509747255265586,0.662623042043648
AT1G01340,-,Chr1:132328-135831,132328,135831,3504,2535,0.935116722027726,8.80087372751906e-05,0.000672773465152805
AT1G01350,-,Chr1:136124-138162,136124,138162,2039,1400,-0.106692601863296,0.474681122769825,0.632332530983966
AT1G01360,-,Chr1:141971-143183,141971,143183,1213,1000,-0.0610098475156029,0.711053417474339,0.818326012672144
AT1G01420,-,Chr1:154492-156011,154492,156011,1520,1520,0.370027562680112,0.133800503333362,0.25994005157369
AT1G01430,-,Chr1:156801-158655,156801,158655,1855,1642,0.490712809342302,1.34270397920287e-06,1.70886061828166e-05
AT1G01440,-,Chr1:159856-162572,159856,162572,2717,2221,0.0721073151627015,0.599226338931626,0.732966951984289
AT1G01448,AT1G01450,Chr1:163419-166239,163419,166239,2821,2481,0.0424371191819106,0.755890200227988,0.849892922160128
AT1G01450,AT1G01448,Chr1:164105-165517,164105,165517,1413,1413,0.0571002087021934,0.714905570267844,0.821683252879128
AT1G01470,-,Chr1:172146-172948,172146,172948,803,727,-0.335765773798148,0.053560402938394,0.131477324307991
AT1G01490,-,Chr1:180059-182358,180059,182358,2300,1168,0.296780374626001,0.00503500779268368,0.0203484242272266
AT1G01500,-,Chr1:185133-186923,185133,186923,1791,1461,-0.022512526811234,0.932145220574714,0.963105308143036
AT1G01510,-,Chr1:187211-190056,187211,190056,2846,2155,-0.124700385224303,0.356858906268054,0.519949609265301
AT1G01520,-,Chr1:190596-192139,190596,192139,1544,864,-0.292021480568995,0.279605406882504,0.439447789624152
AT1G01540,-,Chr1:195780-198684,195780,198684,2905,1989,0.429109523358358,5.79125578428764e-05,0.000468417448985916
AT1G01550,-,Chr1:199639-201775,199639,201775,2137,1559,0.0650462452404937,0.557987331304288,0.70106407427294
AT1G01570,-,Chr1:205176-207435,205176,207435,2260,1437,-0.181494988162384,0.540149182261457,0.686652829988961
AT1G01580,-,Chr1:209395-213041,209395,213041,3647,2409,-2.60714110318718,1.20724267926459e-05,0.000118871133505627
AT1G01610,-,Chr1:221691-224340,221691,224340,2650,1856,0.370179189159299,0.00215232689110431,0.0102075816076766
AT1G01620,-,Chr1:225665-227302,225665,227302,1638,1308,0.0395992245699716,0.727553646651293,0.830535377106818
AT1G01630,-,Chr1:229013-230917,229013,230917,1905,1203,0.0527848251762621,0.694747122184547,0.807602004999401
AT1G01640,-,Chr1:230994-232508,230994,232508,1515,994,-0.658988412297642,0.00106030835042186,0.00564384602271794
AT1G01650,-,Chr1:232841-237817,232841,237817,4977,2220,0.147003788675873,0.287181709521331,0.447274512011274
AT1G01710,-,Chr1:262828-267771,262828,267771,4944,2492,-0.148153450047918,0.234262412297476,0.388159701534363
AT1G01720,AT1G01725,Chr1:268330-269819,268330,269819,1490,1316,0.256985675168765,0.0129049204403045,0.0432526471507993
AT1G01725,AT1G01720,Chr1:269792-270775,269792,270775,984,453,0.280252216421351,0.135126188821725,0.261630516382521
AT1G01730,-,Chr1:270956-272061,270956,272061,1106,910,0.164143737234814,0.282828397741798,0.44285005957326
AT1G01740,-,Chr1:272111-274569,272111,274569,2459,1688,-0.98906963307531,0.000733532039764885,0.00412298021455312
AT1G01750,AT1G01760,Chr1:275366-276310,275366,276310,945,769,0.73965031128981,0.0254594256852685,0.0737676996116517
AT1G01760,AT1G01750,Chr1:276266-278448,276266,278448,2183,1312,0.384146452706785,0.0853933446202622,0.186692853828925
AT1G01770,AT1G01780,Chr1:278615-282891,278615,282891,4277,2362,-0.264947110630249,0.0263336863298348,0.0757389741340495
AT1G01780,AT1G01770,Chr1:282761-284245,282761,284245,1485,939,-0.702002798560879,0.000125224209980885,0.000910985395125844
AT1G01790,-,Chr1:284610-291094,284610,291094,6485,3892,0.26701935002574,0.0269356999437186,0.0770668829905256
AT1G01800,-,Chr1:293342-295040,293342,295040,1699,1098,0.409732867395237,9.52132061726162e-05,0.000719756647796056
AT1G01820,-,Chr1:296001-298120,296001,298120,2120,1048,0.289820064057351,0.0162110139367442,0.0517949182483332
AT1G01830,-,Chr1:298535-302315,298535,302315,3781,2522,-0.196003469400301,0.209598805271003,0.358461477225177
AT1G01840,AT1G01860,Chr1:303537-304358,303537,304358,822,822,-0.113897280823518,0.700897649858825,0.811526817781206
AT1G01860,AT1G01840,Chr1:304133-306287,304133,306287,2155,1350,-0.205878516529434,0.271352278580055,0.430318014088971
AT1G01910,AT1G01900,Chr1:313101-315902,313101,315902,2802,1635,1.21178454188067,2.38573682287466e-26,3.40908214624756e-24
AT1G01920,-,Chr1:316128-319650,316128,319650,3523,1946,-0.506001196458235,0.000555353717584038,0.00327431103628735
AT1G01930,-,Chr1:319836-322860,319836,322860,3025,1999,-0.180524801018297,0.246827910820766,0.40232285640228
AT1G01940,-,Chr1:323027-324917,323027,324917,1891,736,-0.118087307508992,0.600656010143859,0.734306881427868
