symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
AT1G01010,-,Chr1:3631-5899,3631,5899,2269,1688,0.402953143585437,0.645152125272431,0.999973661231753
AT1G01020,-,Chr1:5928-8737,5928,8737,2810,1774,0.234377221403131,0.78034958900893,0.999973661231753
AT1G01030,-,Chr1:11649-13714,11649,13714,2066,1905,0.98703057405118,0.202102590980932,0.999973661231753
AT1G01040,AT1G01046;AT1G01050,Chr1:23146-31227,23146,31227,8082,6254,-0.325017618014539,0.730572526408805,0.999973661231753
AT1G01046,AT1G01040,Chr1:28500-28706,28500,28706,207,207,-0.705057468461694,0.387432865405075,0.999973661231753
AT1G01050,AT1G01040,Chr1:31170-33153,31170,33153,1984,976,0.33612017022527,0.718930658468553,0.999973661231753
AT1G01060,-,Chr1:33379-37871,33379,37871,4493,3234,-0.73462400200306,0.472625980460037,0.999973661231753
AT1G01070,-,Chr1:38752-40944,38752,40944,2193,1450,-0.955542791592805,0.242957052751115,0.999973661231753
AT1G01080,-,Chr1:45296-47019,45296,47019,1724,1322,0.31328929609661,0.734567318086029,0.999973661231753
AT1G01090,-,Chr1:47485-49286,47485,49286,1802,1627,0.134713229840518,0.891698715648284,0.999973661231753
AT1G01100,-,Chr1:50075-51199,50075,51199,1125,679,0.438697934838458,0.660891378024391,0.999973661231753
AT1G01110,-,Chr1:52239-54692,52239,54692,2454,1851,-1.60195005051519,0.0389470542637114,0.999973661231753
AT1G01120,-,Chr1:57269-59167,57269,59167,1899,1899,-0.00287248472646943,0.997692320212485,0.999973661231753
AT1G01130,-,Chr1:61905-63811,61905,63811,1907,375,-0.626964583645917,0.387887637011701,0.999973661231753
AT1G01140,-,Chr1:64166-67625,64166,67625,3460,1707,0.136404629714965,0.886358358857386,0.999973661231753
AT1G01160,AT1G01170,Chr1:72339-74096,72339,74096,1758,1147,0.196903088297662,0.833410371330798,0.999973661231753
AT1G01170,AT1G01160,Chr1:73931-74737,73931,74737,807,515,0.620083506034699,0.514538401527853,0.999973661231753
AT1G01180,-,Chr1:75583-76758,75583,76758,1176,1176,0.753286689547242,0.382130460957483,0.999973661231753
AT1G01190,-,Chr1:83045-84864,83045,84864,1820,1608,0.899202064223422,0.280452051169191,0.999973661231753
AT1G01210,-,Chr1:88898-89745,88898,89745,848,616,0.612543384241951,0.476558158640346,0.999973661231753
AT1G01220,-,Chr1:91376-95651,91376,95651,4276,3532,-0.372157894484128,0.681776274957523,0.999973661231753
AT1G01225,-,Chr1:95987-97407,95987,97407,1421,1025,-0.690509373492528,0.356095903722633,0.999973661231753
AT1G01230,-,Chr1:97456-99240,97456,99240,1785,832,0.155412337822849,0.856733046863035,0.999973661231753
AT1G01240,-,Chr1:99894-101834,99894,101834,1941,1941,-0.318237752349222,0.725919251499784,0.999973661231753
AT1G01250,-,Chr1:104491-105330,104491,105330,840,840,0.46979255010604,0.583106804474023,0.999973661231753
AT1G01260,-,Chr1:108946-111609,108946,111609,2664,2664,-0.88987082484554,0.313683897158536,0.999973661231753
AT1G01290,-,Chr1:114286-116108,114286,116108,1823,1227,-0.107715663591202,0.897462865097665,0.999973661231753
AT1G01300,-,Chr1:116943-118764,116943,118764,1822,1822,-0.113238573130389,0.902281365471927,0.999973661231753
AT1G01320,AT1G01310,Chr1:121067-130577,121067,130577,9511,6079,0.173415065915076,0.866001547587094,0.999973661231753
AT1G01350,-,Chr1:136124-138162,136124,138162,2039,1400,-0.11136269572615,0.897348597955386,0.999973661231753
AT1G01360,-,Chr1:141971-143183,141971,143183,1213,1000,0.073002125441824,0.930227298909024,0.999973661231753
AT1G01370,-,Chr1:143564-145684,143564,145684,2121,992,-0.269129872121604,0.730825490635407,0.999973661231753
AT1G01380,-,Chr1:147153-147942,147153,147942,790,568,-0.24843105028062,0.752114312170494,0.999973661231753
AT1G01420,-,Chr1:154492-156011,154492,156011,1520,1520,0.437950670310455,0.599376918683742,0.999973661231753
AT1G01430,-,Chr1:156801-158655,156801,158655,1855,1642,0.334354367912841,0.731261753751538,0.999973661231753
AT1G01440,-,Chr1:159856-162572,159856,162572,2717,2221,-0.135519932811728,0.877694093460045,0.999973661231753
AT1G01448,AT1G01450,Chr1:163419-166239,163419,166239,2821,2481,-0.442357090175501,0.607478029164417,0.999973661231753
AT1G01450,AT1G01448,Chr1:164105-165517,164105,165517,1413,1413,-0.340344040481702,0.691902483488222,0.999973661231753
AT1G01470,-,Chr1:172146-172948,172146,172948,803,727,0.0428741298297582,0.966076123913739,0.999973661231753
AT1G01490,-,Chr1:180059-182358,180059,182358,2300,1168,0.0658248597067863,0.944922792441954,0.999973661231753
AT1G01500,-,Chr1:185133-186923,185133,186923,1791,1461,0.149945927331885,0.852630008145056,0.999973661231753
AT1G01510,-,Chr1:187211-190056,187211,190056,2846,2155,-0.466056330890189,0.614908603458977,0.999973661231753
AT1G01520,-,Chr1:190596-192139,190596,192139,1544,864,0.152391921357225,0.864195265613654,0.999973661231753
AT1G01540,-,Chr1:195780-198684,195780,198684,2905,1989,-0.298883383196503,0.751515150198196,0.999973661231753
AT1G01550,-,Chr1:199639-201775,199639,201775,2137,1559,0.00124695656580386,0.998984614459599,0.999973661231753
AT1G01570,-,Chr1:205176-207435,205176,207435,2260,1437,-0.427542726679956,0.583109064162699,0.999973661231753
AT1G01580,-,Chr1:209395-213041,209395,213041,3647,2409,-2.38778958780824,0.0220753648162506,0.999973661231753
AT1G01600,-,Chr1:218994-221286,218994,221286,2293,2163,0.360764725781723,0.647867720127383,0.999973661231753
AT1G01610,-,Chr1:221691-224340,221691,224340,2650,1856,-0.0696566280511509,0.9427378233635,0.999973661231753
AT1G01620,-,Chr1:225665-227302,225665,227302,1638,1308,-0.028742979886519,0.977407135781717,0.999973661231753
AT1G01630,-,Chr1:229013-230917,229013,230917,1905,1203,0.0864790997528363,0.926456321172979,0.999973661231753
AT1G01640,-,Chr1:230994-232508,230994,232508,1515,994,-0.301702997506719,0.685494329640081,0.999973661231753
AT1G01650,-,Chr1:232841-237817,232841,237817,4977,2220,-0.264544154716692,0.770963752031923,0.999973661231753
AT1G01690,-,Chr1:249141-252462,249141,252462,3322,1692,-0.796697165055354,0.274773535156344,0.999973661231753
AT1G01710,-,Chr1:262828-267771,262828,267771,4944,2492,-0.224807848939321,0.803999818242365,0.999973661231753
AT1G01720,AT1G01725,Chr1:268330-269819,268330,269819,1490,1316,-0.290375259732839,0.761695774372663,0.999973661231753
AT1G01725,AT1G01720,Chr1:269792-270775,269792,270775,984,453,-0.066297740598028,0.93582342234869,0.999973661231753
AT1G01730,-,Chr1:270956-272061,270956,272061,1106,910,-0.0481313887376708,0.955977871145098,0.999973661231753
AT1G01740,-,Chr1:272111-274569,272111,274569,2459,1688,-0.320763440377407,0.70239921277767,0.999973661231753
AT1G01750,AT1G01760,Chr1:275366-276310,275366,276310,945,769,1.06422823029259,0.150196196650123,0.999973661231753
AT1G01760,AT1G01750,Chr1:276266-278448,276266,278448,2183,1312,-0.489276541482038,0.503129482057396,0.999973661231753
AT1G01770,AT1G01780,Chr1:278615-282891,278615,282891,4277,2362,-0.257814433052502,0.77167010669624,0.999973661231753
AT1G01780,AT1G01770,Chr1:282761-284245,282761,284245,1485,939,-0.255436116782871,0.758293162821646,0.999973661231753
